mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,zero_crossing_rate,rms_energy,label
-150.06598,35.52017,-50.178288,-4.253593,-7.5082245,7.72538,-16.941473,3.6056938,4.4897137,0.4450534,1.59958,3.955867,-1.2171056,3511.0593475363644,2467.2472200016214,6306.292169744318,0.14449109,17.22102837961102,0.19504616477272727,0.06137518,Clap
-185.0571,47.207497,-66.22961,-23.990736,-14.827138,-3.737231,-3.3623745,-3.0676165,-8.639008,0.24932815,0.3478598,-3.8420882,-9.156875,3067.372340117802,2477.5985825969774,5888.502854567308,0.092034906,17.536771181012917,0.17826021634615385,0.04929322,Clap
-173.06625,26.1065,-54.53139,-18.938917,-27.85491,-2.6215985,-11.919031,2.5965724,-10.486043,-2.120883,-2.4914033,2.6843257,-5.7730026,3572.7622068782134,2599.946144397757,6691.44287109375,0.15143827,17.510072536361523,0.19013671875,0.050516963,Clap
-152.99203,9.986465,-77.46718,-30.051075,-16.680979,7.523411,-2.7085767,-4.311947,-10.431601,-3.438459,-7.9431953,0.55994284,-6.120226,3496.808131951255,2587.5128271932817,6683.367919921875,0.12539044,15.321304133258154,0.17889404296875,0.104787886,Clap
-179.62354,-43.377472,-66.46099,-5.555677,-13.784874,-21.169188,-14.363166,-4.4048705,-17.427984,-9.278038,-7.9066415,-3.1406019,-8.23788,4574.382649499629,2669.5658672956256,8025.732421875,0.24068734,15.426917067365777,0.26534598214285715,0.09204542,Clap
-174.07545,20.329634,-67.366806,-35.541473,-45.526894,-13.465888,-10.512605,-7.333793,-12.756745,-9.535326,-14.596412,-7.1305127,-10.52302,3435.2659617405284,2621.190378943431,6545.114968039773,0.1251982,17.231369084773398,0.18621271306818182,0.07463621,Clap
-131.54436,4.09996,-75.496056,-29.94731,-17.565462,-0.4692398,-13.763951,-9.30489,-10.857857,-4.17433,-4.2676597,-0.9066393,-7.0140204,3672.316685096484,2652.1728933183426,6912.158203125,0.15639825,16.07262418414302,0.1962890625,0.10521889,Clap
-178.15125,52.476746,-74.249176,-37.963516,-33.103176,-9.689849,-7.710563,-9.197234,-17.433681,-5.502491,-9.124017,-3.6070004,-7.334411,2791.277452127684,2290.547548711636,5129.388427734375,0.070887245,17.48239998050672,0.14530436197916666,0.0740057,Clap
-166.03525,24.421297,-66.21071,-34.81128,-35.50185,-5.7446556,-4.9783134,-7.3517785,-14.698101,-2.068087,-3.014391,-0.59188056,-9.24545,3436.877008350668,2531.5024222045886,6383.2489013671875,0.139433,17.558822957595755,0.1754150390625,0.09516378,Clap
-180.5215,32.7255,-61.566277,-32.850613,-45.04634,-18.61734,-6.3976784,2.9394388,-12.863394,-6.919908,-8.561572,-6.4202003,-8.673455,3234.3320411172263,2480.5305833132707,6041.259765625,0.11035263,16.71728145955778,0.1601019965277778,0.07628114,Clap
